13:54:18, Start Process on OneDrive
Time,Action
13:54:19,Testing OneDrive Single-Sign-On
13:54:19,Code Exist
13:54:20, Get Authentication Token
13:54:20, Authentication Token Exist
@{token_type=Bearer; scope=AllSites.Manage AllSites.Read AllSites.Write MyFiles.Read MyFiles.Write; expires_in=3599; ext_expires_in=0; expires_on=1511297659; not_before=1511293759; resource=https://arstconnazureo365-my.sharepoint.com/; access_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyIsImtpZCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyJ9.eyJhdWQiOiJodHRwczovL2Fyc3Rjb25uYXp1cmVvMzY1LW15LnNoYXJlcG9pbnQuY29tLyIsImlzcyI6Imh0dHBzOi8vc3RzLndpbmRvd3MubmV0L2U5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZi8iLCJpYXQiOjE1MTEyOTM3NTksIm5iZiI6MTUxMTI5Mzc1OSwiZXhwIjoxNTExMjk3NjU5LCJhY3IiOiIxIiwiYWlvIjoiWTJOZ1lERFRQaG1YTGJ1RDdhYWZDTXVLbzRrN0l1YVZ5V29IYjR1dVhYVDZnV2l0emowQSIsImFtciI6WyJwd2QiXSwiYXBwX2Rpc3BsYXluYW1lIjoiQWNjZXNzLTFEcml2ZTRCdXNpbmVzcyIsImFwcGlkIjoiOTkwYmZhYjktNmViNC00Y2YzLWI5MjUtMmFiY2YyMjZkZDA0IiwiYXBwaWRhY3IiOiIxIiwiZmFtaWx5X25hbWUiOiJUZWFtIiwiZ2l2ZW5fbmFtZSI6IkRldmVsb3BtZW50IiwiaXBhZGRyIjoiMTg2LjE3Ni40Mi4xOTUiLCJuYW1lIjoiRGV2ZWxvcG1lbnQgVGVhbSIsIm9pZCI6IjQwNWJmYWIzLTlhNzUtNDFhMC1iYjkzLWE1ZjIzZTIxZjc1YiIsInB1aWQiOiIxMDAzMDAwMEE1RDk3Mjc2Iiwic2NwIjoiQWxsU2l0ZXMuTWFuYWdlIEFsbFNpdGVzLlJlYWQgQWxsU2l0ZXMuV3JpdGUgTXlGaWxlcy5SZWFkIE15RmlsZXMuV3JpdGUiLCJzaWduaW5fc3RhdGUiOlsia21zaSJdLCJzdWIiOiJrOFNfOVhGWGdiWElXbVVkUHl0UDBIS2lEeFJhZWhJMlB3UVY1WGNDNzdvIiwidGlkIjoiZTk1YzU2NzUtN2VhZC00NDdiLWFmODAtYWZmYjFlNjQ2ZDNmIiwidW5pcXVlX25hbWUiOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInVwbiI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidXRpIjoiNEp2eUJ6SnhxMEMyU3ZnV0diZ0FBQSIsInZlciI6IjEuMCJ9.vTIPR14UQNVCYJ5txFxewYPn7_o_jT-si_EkF29510HXBxAcx_ERgmfrwmw0UpPC_S2pXtxitKwubJkgyrdtHQej0lEhYweQNpsHkUQe4tcRSlASmT3vZ4DHK-HhJJAQp0uHnOdlWM-z7nANORWDWJYD0kHqH_eDtGFSnyo9M9Nm4KTxlhA9D5gxpABvN2fNNFw_poOvm_gd3B0XYLnVu0ZZW9kTLkxwnfMuypW5dMAQ6dzR43_ap_lQXYt22FTuoKIPIIR_coLoVQpvPjttACKI_U67iNAKFo7Txja9CrrQwNeP1_x8KQZXugLb2YDXflP0CruH6hdAR569yiALig; refresh_token=AQABAAAAAABHh4kmS_aKT5XrjzxRAtHzQfxyaXN61K-hfGfmeVFHegSPTV5_E-8n2V2iW8W4GaSt2xeRV-DzItYg6WtovrICP7W6GItKkXPc2Px5OMZYCYtYVXtifTHw23XfmvMYy6emVJxNgu5qelTEv1YsIxFDXpVWLVYXFBf_P8yXmpcU90QXwh2ORRXRgldeSIxJm2tbx2gOs3LofS25lwDlixxjN-OLCHp3qrcCFYOk_u-y6_udJWHGKNXhmWJMjsEA-Q3xmHIcj8yn_dZXR-rPN2ZCWLgD3_QeOdxru29Rnmkmnvdsr0i51T-viqjNysaw_gVZMlJKfkX8H8UtQENg2_8ZWniCkqvw937rMMWlgfp_O6gTbCRjvgIQEEkE_AWAiJtbzRVQEueMNoioaSZ1pigeRVf78wdgClAqT61bUKMfGCwO2HYnBGJSmcWfpUL8ByFv-fQjtSAKm90QH-RDZt0a-goLFcokeYj-NINuS0NRVI95yf1JouadP0RyeOViCRnlThEZYMjNELeOc_HKuu5luM8Ud7R2qR-fUlLpQviIvzHHZtKaFOnhYWNVRhgkRBq5TCwCbt-RhVXdA7xa4OFAmrsZE-vvJJK00Hr7dEwCDt-O5pGSd01zwc2mrhtYPQeoi21GLiiUG5WN0OxPhr0N1TzSiH9Dpljttvval31jQab0O-h3tDNo2LGN0p359ERBEkClnGok_-xBDdHssT1KQ7waRDqigK5_zQMov9FEW9ch7sF8wL-UaWy4gBGWcqEkYIEoMIt15k-TBax8m2JPKw7HTp02tQyaLG3DHJpjCsF3JbvOWgrvXco6rJ8OE10gAA; id_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJub25lIn0.eyJhdWQiOiI5OTBiZmFiOS02ZWI0LTRjZjMtYjkyNS0yYWJjZjIyNmRkMDQiLCJpc3MiOiJodHRwczovL3N0cy53aW5kb3dzLm5ldC9lOTVjNTY3NS03ZWFkLTQ0N2ItYWY4MC1hZmZiMWU2NDZkM2YvIiwiaWF0IjoxNTExMjkzNzU5LCJuYmYiOjE1MTEyOTM3NTksImV4cCI6MTUxMTI5NzY1OSwiYW1yIjpbInB3ZCJdLCJmYW1pbHlfbmFtZSI6IlRlYW0iLCJnaXZlbl9uYW1lIjoiRGV2ZWxvcG1lbnQiLCJpcGFkZHIiOiIxODYuMTc2LjQyLjE5NSIsIm5hbWUiOiJEZXZlbG9wbWVudCBUZWFtIiwib2lkIjoiNDA1YmZhYjMtOWE3NS00MWEwLWJiOTMtYTVmMjNlMjFmNzViIiwic3ViIjoiNTBlNUc4X1pQV0dNaUh6NmpMUk04WTBRV244WC1kOXVLbGVjVHQ5R2tBWSIsInRpZCI6ImU5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZiIsInVuaXF1ZV9uYW1lIjoiZGV2ZWxvcG1lbnRhZG1pbkBhcnN0Y29ubmF6dXJlbzM2NS5vbm1pY3Jvc29mdC5jb20iLCJ1cG4iOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInZlciI6IjEuMCJ9.}
13:54:21, Drive Information
@{@odata.context=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/$metadata#drive; @odata.type=#oneDrive.drive; @odata.id=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/drive; @odata.editLink=drive; createdBy=; createdDateTime=2017-10-25T04:53:35Z; description=; id=b!W-UNaR9o9EqVoqUSKHRdCZqRwLFLIXpIk7OiSdbeH9xDg2b_wUNpT6BrjVeUqeLG; lastModifiedBy=; lastModifiedDateTime=2017-10-27T20:54:54Z; name=OneDrive; webUrl=https://arstconnazureo365-my.sharepoint.com/personal/developmentadmin_arstconnazureo365_onmicrosoft_com/Documents; driveType=business; owner=; quota=}
13:54:22, Files and Folders in root drive

